注文ID,日付,店舗,カテゴリ,商品名,単価,数量,割引率,支払方法,担当者
ORD000063,2024-07-14,オンライン,食品,弁当,12751,3,5.0,交通系IC,山本
ORD000064,2024-12-01,オンライン,本,小説,5158,2,5.0,クレジットカード,高橋
ORD000065,2024-10-04,広島店,ゲーム,コントローラー,1276,10,0.0,交通系IC,渡辺
ORD000066,2024-06-02,福岡店,美容,化粧水,29703,1,0.0,クレジットカード,山本
ORD000067,2024-07-14,大阪店 ,家電,キーボード,20406,4,5.0,現金,伊藤
ORD000068,2024-10-27,東京店,衣類,ズボン,9902,7,20.0,交通系IC,田中
ORD000069,2024/12/03,オンライン,ゲーム,コントローラー,13069,5,0.0,PayPay,佐藤
ORD000070,2024-11-21,名古屋店,衣類,ズボン,6330,10,0.0,PayPay,鈴木
ORD000071,2024-03-08,東京店,衣類,ジャケット,3053,5,0.0,PayPay,山本
ORD000072,2024-05-31,広島店,スポーツ,ヨガマット,24563,6,,交通系IC,渡辺
ORD000073,2024-05-15,東京店,スポーツ,プロテイン,17682,2,5.0,交通系IC,佐藤
ORD000074,2024-04-23,名古屋店,本,小説,21322,2,20.0,PayPay,伊藤
ORD000075,2024-03-10,東京店,本,小説,12835,8,0.0,クレジットカード,伊藤
ORD000076,2024-01-17,名古屋店,食品,水,22719,6,0.0,交通系IC,田中
ORD000077,2024/03/03,福岡店,衣類,Tシャツ,27888,8,0.0,PayPay,鈴木
ORD000078,2024-10-10,大阪店,家電,USBメモリ,6888,10,0.0,現金,渡辺
ORD000079,2024-12-04,広島店,家電,USBメモリ,"¥28,491",1,0.0,クレジットカード,佐藤
ORD000080,2024-02-02,名古屋店,美容,BBクリーム,15705,8,,現金,山本
ORD000081,2024-09-02,福岡店,美容,日焼け止め,27864,7,5.0,現金,佐藤
ORD000082,2024-09-15,福岡店,衣類,靴下,19938,7,0.0,PayPay,高橋
ORD000083,2024-07-31,広島店,家電,モニター,24007,2,0.0,交通系IC,高橋
ORD000084,2024-03-07,東京店,食品,水,18331,1,10.0,PayPay,渡辺
ORD000085,2024-02-23,広島店,美容,化粧水,19037,9,0.0,PayPay,田中
ORD000086,2024年12月02日,名古屋店,家電,モニター,27279,5,0.0,現金,伊藤
ORD000087,2024-09-28,大阪店,本,小説,7149,7,5.0,現金,佐藤
ORD000088,2024-02-11,名古屋店,家電,キーボード,9016,8,20.0,現金,山本
ORD000089,2024-04-22,,美容,BBクリーム,"¥13,051",10,0.0,PayPay,佐藤
ORD000090,2024-03-07,オンライン,食品,水,12558,9,20.0,交通系IC,鈴木
ORD000091,2024-07-26,広島店,本,小説,23348,7,0.0,交通系IC,伊藤
ORD000092,2024-10-28,東京店,食品,水,13221,9,0.0,クレジットカード,高橋
ORD000093,2024-11-26,広島店,ゲーム,ゲームソフト,26807,3,0.0,PayPay,山本
ORD000094,2024-10-16,福岡店,美容,BBクリーム,21169,10,0.0,交通系IC,山本
ORD000095,2024-08-24,名古屋店,食品,弁当,14908,1,0.0,現金,田中
ORD000096,2024-10-19,オンライン,ゲーム,ヘッドセット,21459,4,0.0,現金,高橋
ORD000097,2024-05-06,オンライン,食品,お茶,23287,8,5.0,クレジットカード,佐藤
ORD000098,2024-06-17,オンライン,食品,カップ麺,3196,9,20.0,PayPay,佐藤
ORD000099,2024-12-23,広島店,美容,シャンプー,21796,7,0.0,PayPay,山本
ORD000100,2024-07-04,オンライン,スポーツ,ダンベル,697,6,0.0,交通系IC,伊藤
ORD000101,2024-06-21,名古屋店,スポーツ,ダンベル,28817,10,0.0,現金,山本
ORD000102,2024-11-08,広島店,食品,水,9436,8,0.0,クレジットカード,高橋
ORD000103,2024-09-27,広島店,本,雑誌,13818,3,,交通系IC,伊藤
ORD000104,2024-03-23,広島店,美容 ,化粧水,9038,8,10.0,現金,渡辺
ORD000105,2024-07-16,名古屋店,食品,水,"¥2,774",6,0.0,PayPay,鈴木
ORD000106,2024-12-27,オンライン,衣類,ジャケット,"¥15,471",8,10.0,クレジットカード,渡辺
ORD000107,2024-06-03,東京店,ゲーム ,コントローラー,4092,1,0.0,PayPay,鈴木
ORD000108,2024-08-07,大阪店,ゲーム,ヘッドセット,151,10,0.0,クレジットカード,田中
ORD000109,2024-08-28,名古屋店,ゲーム,ヘッドセット,不明,7,0.0,現金,高橋
ORD000110,2024-10-06,大阪店,美容,日焼け止め,11193,3,,現金,田中
ORD000111,2024-04-12,広島店,本,小説,29125,1,0.0,クレジットカード,佐藤
ORD000112,2024-03-04,オンライン,衣類,Tシャツ,26292,6,5.0,PayPay,田中
ORD000113,2024-08-08,東京店,スポーツ,プロテイン,19841,3,10.0,交通系IC,佐藤
ORD000114,2024-06-29,福岡店,本,漫画,20247,7,0.0,現金,山本
ORD000115,2024/03/05,大阪店,家電,マウス,2303,4,,交通系IC,佐藤
ORD000116,2024/03/11,福岡店,衣類,靴下,17449,6,5.0,現金,伊藤
ORD000117,2024-08-16,広島店,ゲーム,ゲームソフト,7131,10,0.0,PayPay,山本
ORD000118,2024-02-03,広島店,食品,カップ麺,18122,9,0.0,PayPay,山本
ORD000119,2024-09-09,大阪店,食品,パン,961,6,10.0,クレジットカード,渡辺
ORD000120,2024-07-28,名古屋店,美容,BBクリーム,27079,10,0.0,交通系IC,渡辺
ORD000121,2024-03-07,名古屋店,ゲーム,ヘッドセット,14276,9,,クレジットカード,渡辺
ORD000122,2024-11-21,東京店,ゲーム,コントローラー,18149,5,0.0,PayPay,鈴木
ORD000123,2024-10-15,名古屋店,ゲーム,ヘッドセット,1449,1,0.0,PayPay,渡辺
ORD000124,2024-05-05,オンライン,本,漫画,26468,7,0.0,PayPay,高橋
ORD000125,2024-03-07,オンライン,スポーツ,プロテイン,25025,6,10.0,PayPay,高橋
ORD000126,2024-06-16,大阪店 ,本,雑誌,19029,6,0.0,クレジットカード,渡辺
ORD000127,2024-06-29,大阪店,ゲーム,コントローラー,1694,1,0.0,クレジットカード,伊藤
ORD000128,2024-07-24,福岡店,衣類,靴下,1776,10,10.0,PayPay,佐藤
ORD000129,2024-07-10,大阪店,美容,化粧水,26147,6,10.0,現金,高橋
ORD000130,2024-11-06,名古屋店,衣類,ジャケット,29366,9,0.0,交通系IC,鈴木
ORD000131,2024-01-09,オンライン,スポーツ,シューズ,12170,6,20.0,PayPay,高橋
ORD000132,2024-09-02,オンライン,衣類,ズボン,5687,9,20.0,現金,伊藤
ORD000133,2024-03-18,福岡店,家電,マウス,13631,4,5.0,PayPay,高橋
ORD000134,2024-07-11,オンライン,ゲーム,コントローラー,10381,3,5.0,交通系IC,伊藤
ORD000135,2024-10-12,大阪店,ゲーム,コントローラー,9881,4,0.0,クレジットカード,田中
ORD000136,2024-12-12,広島店,美容,日焼け止め,17899,7,5.0,現金,伊藤
ORD000137,2024-04-13,オンライン,本,漫画,27230,9,0.0,交通系IC,鈴木
ORD000138,2024-02-21,オンライン,ゲーム,ゲームソフト,13643,6,20.0,クレジットカード,佐藤
ORD000139,2024-05-27,オンライン,本,雑誌,10624,5,20.0,クレジットカード,渡辺
ORD000140,2024年07月22日,大阪店,家電,モニター,25919,8,0.0,現金,渡辺
ORD000141,2024-09-15,福岡店 ,衣類,靴下,15436,5,0.0,交通系IC,鈴木
ORD000142,2024-08-06,大阪店 ,衣類,ズボン,16984,6,0.0,交通系IC,渡辺
ORD000143,2024-10-20,広島店,本,漫画,474,5,20.0,PayPay,伊藤
ORD000144,2024-05-31,オンライン,美容,日焼け止め,12143,10,0.0,現金,山本
ORD000145,2024-08-16,大阪店,本,参考書,17407,6,0.0,現金,伊藤
ORD000146,2024-10-25,東京店,スポーツ,シューズ,16117,2,10.0,クレジットカード,山本
ORD000147,2024-01-02,福岡店,衣類,Tシャツ,24538,4,10.0,PayPay,渡辺
ORD000148,2024-03-10,広島店,本,小説,25194,7,0.0,交通系IC,鈴木
ORD000149,2024-04-01,オンライン,ゲーム,ゲームソフト,17704,7,10.0,PayPay,佐藤
ORD000150,2024-06-26,大阪店,本,雑誌,5183,5,0.0,クレジットカード,高橋
ORD000151,2024/10/31,大阪店,食品,パン,1200,8,10.0,現金,佐藤
ORD000152,2024-10-21,大阪店,スポーツ,ダンベル,10549,10,10.0,PayPay,鈴木
ORD000153,2024-12-13,名古屋店,衣類,Tシャツ,14098,9,5.0,クレジットカード,山本
ORD000154,2024-04-25,大阪店,衣類,ジャケット,9954,3,,交通系IC,鈴木
ORD000155,2024-10-01,福岡店,衣類,Tシャツ,23843,4,0.0,PayPay,佐藤
ORD000156,2024-06-19,福岡店,ゲーム,ゲームソフト,10034,1,0.0,クレジットカード,渡辺
ORD000157,2024-05-24,大阪店,家電,モニター,12573,8,10.0,PayPay,渡辺
ORD000158,2024-07-30,大阪店,スポーツ,プロテイン,1598,10,,PayPay,田中
ORD000159,2024-10-08,福岡店,衣類,ズボン,21550,6,0.0,クレジットカード,高橋
ORD000160,2024/11/24,福岡店 ,家電,USBメモリ,2024,9,0.0,クレジットカード,伊藤
ORD000161,2024-04-21,東京店 ,美容,シャンプー,16671,8,0.0,クレジットカード,佐藤
ORD000162,2024-05-26,東京店,本,小説,661,9,,PayPay,伊藤
ORD000163,2024-07-22,広島店,ゲーム,ヘッドセット,2689,6,5.0,PayPay,田中
ORD000164,2024-07-12,東京店,美容,化粧水,18210,8,0.0,交通系IC,高橋
ORD000165,2024-12-20,東京店,食品,お茶,29183,10,5.0,クレジットカード,鈴木
ORD000166,2024-03-14,東京店,スポーツ,プロテイン,24749,7,0.0,クレジットカード,伊藤
ORD000167,2024-06-26,オンライン,美容,シャンプー,1859,2,5.0,現金,伊藤
ORD000168,2024-07-01,福岡店,美容,日焼け止め,18221,7,5.0,交通系IC,鈴木
ORD000169,2024-07-18,福岡店,衣類,ズボン,10476,6,0.0,クレジットカード,山本
ORD000170,2024-01-14,名古屋店,ゲーム,ヘッドセット,3036,6,10.0,交通系IC,佐藤
ORD000171,2024-07-13,名古屋店,ゲーム,ゲームソフト,5654,3,0.0,クレジットカード,山本
ORD000172,2024-11-11,オンライン,衣類,ズボン,不明,8,0.0,交通系IC,伊藤
ORD000173,2024-12-21,広島店,本,参考書,6681,8,0.0,PayPay,伊藤
ORD000174,2024/02/28,広島店,衣類,ジャケット,18576,4,10.0,交通系IC,田中
ORD000175,2024-07-28,広島店,家電,モニター,22152,8,0.0,現金,渡辺
ORD000176,2024-01-19,名古屋店,本,雑誌,26010,6,20.0,交通系IC,伊藤
ORD000177,2024-06-18,名古屋店,美容,化粧水,"¥26,190",7,0.0,交通系IC,渡辺
ORD000178,2024-12-13,福岡店,本,漫画,19386,9,0.0,交通系IC,渡辺
ORD000179,2024-04-15,広島店,家電,イヤホン,17175,8,0.0,PayPay,高橋
ORD000180,2024-03-25,オンライン,スポーツ,プロテイン,24364,4,10.0,現金,山本
ORD000181,2024-11-10,福岡店,美容,BBクリーム,29037,4,5.0,現金,山本
ORD000182,2024-04-10,大阪店,食品,お茶,15093,2,0.0,PayPay,田中
ORD000183,2024-12-10,名古屋店,衣類,ジャケット,23233,5,10.0,クレジットカード,渡辺
ORD000184,2024-07-15,名古屋店,本,雑誌,13962,3,5.0,クレジットカード,伊藤
ORD000185,2024-07-02,名古屋店,衣類,ジャケット,414,8,0.0,現金,渡辺
ORD000186,2024-01-16,大阪店,本,雑誌,"¥26,179",4,0.0,現金,伊藤
ORD000187,2024-10-05,名古屋店,本,小説,27077,6,10.0,現金,田中
ORD000188,2024-05-14,広島店,スポーツ,ヨガマット,11522,2,5.0,現金,高橋
ORD000189,2024-03-12,福岡店,ゲーム,ヘッドセット,25817,4,,クレジットカード,伊藤
ORD000190,2024-07-29,名古屋店,衣類,靴下,2042,5,,現金,鈴木
ORD000191,2024-07-31,大阪店,本,雑誌,12393,8,0.0,PayPay,山本
ORD000192,2024-02-17,名古屋店,本,漫画,24051,8,20.0,現金,渡辺
ORD000193,2024/10/22,広島店,衣類,靴下,4379,10,,PayPay,伊藤
ORD000194,2024-08-21,東京店,本,小説,122,7,0.0,クレジットカード,高橋
ORD000195,2024-11-28,東京店,衣類,靴下,5523,1,5.0,PayPay,山本
ORD000196,2024-12-14,名古屋店,食品,パン,14683,1,0.0,クレジットカード,伊藤
ORD000197,2024-06-02,東京店,美容,化粧水,4593,7,,PayPay,田中
ORD000198,2024-03-18,広島店,家電,モニター,13590,10,20.0,クレジットカード,山本
ORD000199,2024年11月26日,大阪店,本,漫画,2860,4,10.0,クレジットカード,田中
ORD000200,2024-07-19,名古屋店,家電,USBメモリ,9784,1,,クレジットカード,山本
ORD000201,2024年10月18日,広島店,食品,弁当,13890,6,10.0,クレジットカード,高橋
ORD000202,2024-12-30,福岡店,食品,おにぎり,16518,7,5.0,PayPay,山本
ORD000203,2024-10-27,名古屋店,家電,キーボード,20884,2,0.0,PayPay,高橋
ORD000204,2024-01-07,広島店,ゲーム,ゲームソフト,"¥23,296",3,20.0,クレジットカード,佐藤
ORD000205,2024-03-01,オンライン,衣類,ズボン,25378,1,0.0,PayPay,山本
ORD000206,2024/03/21,福岡店,衣類 ,Tシャツ,8459,2,10.0,クレジットカード,田中
ORD000207,2024-04-01,広島店,食品,水,28198,1,10.0,交通系IC,鈴木
ORD000208,2024-09-14,名古屋店,スポーツ,ダンベル,22163,1,0.0,PayPay,佐藤
ORD000209,2024-07-07,東京店,衣類,靴下,6675,5,10.0,交通系IC,佐藤
ORD000210,2024-01-13,大阪店,美容,シャンプー,7734,,0.0,現金,高橋
ORD000211,2024-09-08,大阪店,衣類,Tシャツ,2062,3,20.0,クレジットカード,高橋
ORD000212,2024-03-09,名古屋店,美容,化粧水,20980,7,0.0,現金,伊藤
ORD000213,2024-04-29,広島店,本,漫画,2547,4,0.0,交通系IC,田中
ORD000214,2024年05月15日,福岡店,スポーツ,ヨガマット,28034,2,0.0,PayPay,高橋
ORD000215,2024-09-19,大阪店,食品,カップ麺,1704,5,0.0,PayPay,高橋
ORD000216,2024-04-23,東京店,食品,パン,4383,4,,現金,佐藤
ORD000217,2024-03-06,オンライン,食品 ,パン,3113,6,0.0,交通系IC,渡辺
ORD000218,2024-04-05,大阪店,美容,BBクリーム,9110,5,5.0,PayPay,鈴木
ORD000219,2024-08-02,広島店,食品,おにぎり,6635,9,0.0,交通系IC,鈴木
ORD000220,2024-05-18,名古屋店,本,漫画,5992,1,0.0,PayPay,高橋
ORD000221,2024-12-02,大阪店,ゲーム,ゲームソフト,8002,5,10.0,現金,鈴木
ORD000222,2024-06-11,大阪店,衣類,ズボン,"¥26,517",6,10.0,クレジットカード,伊藤
ORD000223,2024/09/08,名古屋店,スポーツ,シューズ,1343,2,0.0,PayPay,鈴木
ORD000224,2024-06-14,オンライン,家電,イヤホン,2051,1,0.0,クレジットカード,渡辺
ORD000225,2024-06-03,名古屋店,美容,BBクリーム,10671,3,0.0,現金,田中
ORD000226,2024-06-06,大阪店,ゲーム,コントローラー,不明,5,0.0,クレジットカード,高橋
ORD000227,2024-10-16,広島店,家電,USBメモリ,3511,8,0.0,クレジットカード,山本
ORD000228,2024-04-17,福岡店,美容,日焼け止め,8276,,0.0,現金,田中
ORD000229,2024年09月02日,広島店 ,本,雑誌,25945,10,20.0,交通系IC,佐藤
ORD000230,2024-03-23,広島店,食品,おにぎり,24085,2,10.0,クレジットカード,高橋
ORD000231,2024-01-28,名古屋店,美容,シャンプー,3418,6,0.0,交通系IC,鈴木
ORD000232,2024-01-28,福岡店,食品,おにぎり,11923,1,5.0,交通系IC,鈴木
ORD000233,2024-07-22,東京店,食品,水,15531,8,20.0,PayPay,渡辺
ORD000234,2024-05-17,広島店,本,雑誌,18589,1,0.0,クレジットカード,渡辺
ORD000235,2024-12-17,福岡店,ゲーム,ゲームソフト,28506,8,10.0,交通系IC,伊藤
ORD000236,2024-03-26,東京店,スポーツ,ヨガマット,7043,4,0.0,交通系IC,鈴木
ORD000237,2024-07-22,東京店,衣類,Tシャツ,18189,6,,交通系IC,伊藤
ORD000238,2024-10-15,大阪店,本,参考書,25644,2,,現金,佐藤
ORD000239,2024/11/12,広島店,食品,パン,20044,7,0.0,交通系IC,鈴木
ORD000240,2024-05-23,広島店,衣類,Tシャツ,27718,8,,PayPay,田中
ORD000241,2024-08-14,名古屋店,衣類,ジャケット,7026,7,20.0,現金,鈴木
ORD000242,2024-04-08,名古屋店,本,参考書,28777,4,,現金,鈴木
ORD000243,2024-07-09,オンライン,本,小説,16116,10,5.0,現金,鈴木
ORD000244,2024-01-26,広島店,美容 ,化粧水,5438,10,,現金,高橋
ORD000245,2024-03-29,福岡店,スポーツ,ダンベル,19798,1,0.0,クレジットカード,山本
ORD000246,2024-06-03,広島店,衣類,ジャケット,22290,,,クレジットカード,高橋
ORD000247,2024-02-25,広島店,ゲーム,ヘッドセット,15885,2,0.0,PayPay,山本
ORD000248,2024-11-03,大阪店,家電,USBメモリ,13341,6,20.0,現金,渡辺
ORD000249,2024-04-23,名古屋店,ゲーム,ヘッドセット,22589,9,20.0,クレジットカード,田中
ORD000250,2024-05-12,東京店,家電,イヤホン,23862,9,,交通系IC,鈴木
ORD000251,2024-05-30,広島店,本,漫画,15296,2,5.0,PayPay,伊藤
ORD000252,2024-01-28,名古屋店,美容,BBクリーム,28635,3,0.0,PayPay,高橋
ORD000253,2024-03-31,福岡店,家電,マウス,10369,1,0.0,PayPay,山本
ORD000254,2024年08月07日,福岡店,家電,,"¥15,743",7,0.0,交通系IC,高橋
ORD000255,2024-05-07,オンライン,家電,マウス,7514,6,0.0,現金,山本
ORD000256,2024-09-07,福岡店,美容,日焼け止め,11871,4,0.0,クレジットカード,田中
ORD000257,2024/12/30,大阪店,ゲーム,ヘッドセット,21416,1,5.0,現金,田中
ORD000258,2024年08月15日,東京店,美容,化粧水,12560,2,10.0,現金,高橋
ORD000259,2024-02-23,名古屋店,ゲーム,コントローラー,16863,10,0.0,クレジットカード,高橋
ORD000260,2024-10-07,広島店,衣類,ジャケット,16364,,20.0,クレジットカード,佐藤
ORD000261,2024-02-21,名古屋店,家電,マウス,29747,5,20.0,現金,山本
ORD000262,2024-02-29,オンライン,衣類,靴下,3212,1,0.0,PayPay,高橋
ORD000263,2024-07-24,広島店,食品,弁当,13215,8,0.0,クレジットカード,佐藤
ORD000264,2024-10-29,大阪店,美容,化粧水,15916,10,20.0,現金,高橋
ORD000265,2024-08-13,福岡店,家電,モニター,不明,2,0.0,現金,高橋
ORD000266,2024-12-04,名古屋店,美容,日焼け止め,23910,4,5.0,現金,高橋
ORD000267,2024-09-10,,美容,シャンプー,28589,3,0.0,交通系IC,渡辺
ORD000268,2024年10月20日,東京店,スポーツ,ヨガマット,14783,2,,交通系IC,高橋
ORD000269,2024-10-14,東京店,ゲーム,ゲームソフト,6878,8,0.0,PayPay,伊藤
ORD000270,2024-02-19,オンライン,美容,日焼け止め,24981,4,0.0,交通系IC,佐藤
ORD000271,2024-05-10,大阪店,家電,モニター,20116,4,0.0,交通系IC,佐藤
ORD000272,2024/08/18,オンライン,食品,カップ麺,15087,10,10.0,現金,渡辺
ORD000273,2024-03-06,オンライン,本,参考書,3493,7,20.0,クレジットカード,山本
ORD000274,2024-03-09,広島店,衣類,,4627,7,10.0,PayPay,高橋
ORD000275,2024-05-28,大阪店,美容,シャンプー,22598,6,20.0,クレジットカード,伊藤
ORD000276,2024-10-19,名古屋店,スポーツ ,プロテイン,21961,7,20.0,交通系IC,伊藤
ORD000277,2024-05-16,オンライン,家電,マウス,24682,3,0.0,現金,鈴木
ORD000278,2024年11月27日,名古屋店,本,小説,18491,7,0.0,クレジットカード,山本
ORD000279,2024-05-08,名古屋店,スポーツ,プロテイン,6754,10,,現金,佐藤
ORD000280,2024-04-09,名古屋店,ゲーム,ヘッドセット,9739,8,0.0,クレジットカード,渡辺
ORD000281,2024-06-18,大阪店,衣類,ズボン,15380,3,0.0,PayPay,佐藤
ORD000282,2024-12-28,広島店,ゲーム,ヘッドセット,10515,9,0.0,現金,渡辺
ORD000283,2024-04-21,広島店,家電,イヤホン,24763,10,10.0,PayPay,田中
ORD000284,2024-02-28,東京店,美容,シャンプー,12744,5,10.0,PayPay,高橋
ORD000285,2024-03-26,広島店,衣類,ズボン,"¥25,440",9,10.0,現金,佐藤
ORD000286,2024-02-06,名古屋店,食品,パン,24574,3,0.0,交通系IC,山本
ORD000287,2024-11-18,福岡店,家電,イヤホン,"¥13,352",7,0.0,交通系IC,高橋
ORD000288,2024-09-14,オンライン,ゲーム,ゲームソフト,3577,5,,現金,田中
ORD000289,2024-07-19,大阪店,家電,USBメモリ,26208,9,0.0,クレジットカード,山本
ORD000290,2024-01-22,名古屋店,食品,お茶,264,10,10.0,クレジットカード,佐藤
ORD000291,2024-11-11,大阪店,美容,シャンプー,27453,5,0.0,クレジットカード,鈴木
ORD000292,2024-02-20,広島店,美容,化粧水,6568,10,5.0,現金,田中
ORD000293,2024/10/26,広島店,本,雑誌,5093,10,10.0,PayPay,山本
ORD000294,2024-12-13,広島店,美容,BBクリーム,24118,6,5.0,PayPay,鈴木
ORD000295,2024-11-16,名古屋店,スポーツ,ヨガマット,2605,2,0.0,クレジットカード,田中
ORD000296,2024-07-19,オンライン ,衣類,ジャケット,7417,10,20.0,クレジットカード,田中
ORD000297,2024-03-22,名古屋店,スポーツ,ヨガマット,5970,10,10.0,クレジットカード,高橋
ORD000298,2024/12/08,広島店,食品,弁当,6875,9,,クレジットカード,佐藤
ORD000299,2024-10-05,オンライン,美容,日焼け止め,18783,3,5.0,PayPay,伊藤
ORD000300,2024-09-03,広島店,ゲーム,コントローラー,29170,10,0.0,PayPay,高橋
ORD000301,2024-06-18,オンライン,衣類,Tシャツ,23701,2,5.0,クレジットカード,高橋
ORD000302,2024-03-16,大阪店,ゲーム,ゲームソフト,1932,3,0.0,現金,伊藤
ORD000303,2024-11-06,東京店,スポーツ,プロテイン,15547,8,0.0,クレジットカード,高橋
ORD000304,2024-07-12,福岡店,家電,イヤホン,"¥12,730",3,0.0,現金,鈴木
ORD000305,2024-09-29,名古屋店,家電,モニター,16593,2,0.0,現金,渡辺
